run_name,app_time,total_mpi_time,mpi_Allgather,mpi_Allgatherv,mpi_Allreduce,mpi_Barrier,mpi_Bcast,mpi_Comm_create,mpi_Comm_free,mpi_Comm_group,mpi_Group_free,mpi_Group_incl,mpi_Iprobe,mpi_Irecv,mpi_Isend,mpi_Recv,mpi_Scan,mpi_Send,mpi_Test,mpi_Testall,mpi_Wait,mpi_Waitall
2025-04-06_10-06-53-job37509576,3.304688e+02,2.414062e+02,3.463168e-04,7.703601e-03,2.242512e+01,3.819398e-04,1.995509e-01,3.255469e-02,1.011308e-04,1.506426e-03,2.838203e-03,1.650879e-03,1.739902e+01,4.269580e+01,4.908955e+01,4.677984e+00,3.796635e-01,2.231730e+00,7.048728e+00,2.883903e+00,1.203089e-01,9.201961e+01
2025-03-03_09-52-43-job36425580,3.308594e+02,2.414062e+02,3.484016e-04,7.723464e-03,2.255804e+01,4.397715e-04,1.932978e-01,3.275918e-02,1.034375e-04,1.508320e-03,2.842832e-03,1.658105e-03,1.740513e+01,4.267803e+01,4.905990e+01,4.669270e+00,3.874273e-01,2.228344e+00,7.050969e+00,2.879057e+00,1.201284e-01,9.199667e+01
2025-03-04_07-12-56-job36465440,3.308594e+02,2.417969e+02,3.500867e-04,7.747889e-03,2.277566e+01,4.023738e-04,1.969422e-01,3.390156e-02,1.040339e-04,1.506484e-03,2.838730e-03,1.658418e-03,1.748307e+01,4.268432e+01,4.906178e+01,4.675078e+00,3.841224e-01,2.228077e+00,7.118572e+00,2.861086e+00,1.202161e-01,9.197132e+01
2025-03-07_15-22-46-job36631817,3.308594e+02,2.414062e+02,3.466984e-04,7.756602e-03,2.259706e+01,4.451305e-04,1.963126e-01,3.325020e-02,1.023805e-04,1.504277e-03,2.837500e-03,1.653555e-03,1.747355e+01,4.269678e+01,4.905963e+01,4.669167e+00,3.891076e-01,2.229890e+00,7.104973e+00,2.868067e+00,1.202247e-01,9.184082e+01
2025-03-08_00-22-13-job36661207,3.308594e+02,2.414062e+02,3.493137e-04,7.747121e-03,2.280392e+01,7.608324e-04,2.034682e-01,3.334902e-02,1.017222e-04,1.502402e-03,2.830449e-03,1.653418e-03,1.748343e+01,4.262113e+01,4.898290e+01,4.698873e+00,3.845865e-01,2.226122e+00,7.113760e+00,2.867102e+00,1.200992e-01,9.200881e+01
2025-03-15_05-04-10-job36873961,3.308594e+02,2.414062e+02,3.431891e-04,7.686947e-03,2.247370e+01,4.180949e-04,1.977588e-01,3.199434e-02,1.048860e-04,1.506523e-03,2.834590e-03,1.653574e-03,1.741000e+01,4.272392e+01,4.909793e+01,4.681290e+00,3.715474e-01,2.229022e+00,7.059632e+00,2.870193e+00,1.201439e-01,9.200862e+01
2025-03-16_08-05-45-job36901838,3.308594e+02,2.414062e+02,3.457582e-04,7.612448e-03,2.236517e+01,6.234668e-04,1.928595e-01,3.060703e-02,1.043598e-04,1.508203e-03,2.841660e-03,1.660078e-03,1.737334e+01,4.275221e+01,4.920831e+01,4.679842e+00,3.737220e-01,2.233284e+00,7.031225e+00,2.876766e+00,1.204499e-01,9.217673e+01
2025-03-17_21-05-18-job36967717,3.308594e+02,2.414062e+02,3.495152e-04,7.709125e-03,2.273723e+01,6.824828e-04,2.028279e-01,3.283906e-02,1.034007e-04,1.505137e-03,2.836152e-03,1.658848e-03,1.752207e+01,4.272315e+01,4.907865e+01,4.685687e+00,3.824398e-01,2.228253e+00,7.119502e+00,2.882708e+00,1.202470e-01,9.180334e+01
2025-03-18_12-45-03-job36975553,3.308594e+02,2.417969e+02,3.465117e-04,7.763202e-03,2.270113e+01,3.791563e-04,1.983196e-01,3.346230e-02,1.019234e-04,1.505137e-03,2.838223e-03,1.656133e-03,1.741043e+01,4.270983e+01,4.910695e+01,4.684393e+00,3.750865e-01,2.229180e+00,7.063435e+00,2.869285e+00,1.202504e-01,9.208673e+01
2025-03-26_01-43-16-job37202852,3.308594e+02,2.414062e+02,3.476441e-04,7.775629e-03,2.265171e+01,7.558277e-04,1.942756e-01,3.240762e-02,1.052510e-04,1.501426e-03,2.829121e-03,1.654023e-03,1.739113e+01,4.269474e+01,4.908724e+01,4.681468e+00,3.773600e-01,2.228726e+00,7.058503e+00,2.860660e+00,1.202178e-01,9.204673e+01
2025-03-29_14-14-54-job37256004,3.308594e+02,2.414062e+02,3.304383e-04,7.446377e-03,2.219407e+01,3.942500e-04,1.946774e-01,2.892090e-02,1.029997e-04,1.511602e-03,2.851250e-03,1.665430e-03,1.731320e+01,4.273939e+01,4.917250e+01,4.699871e+00,3.676774e-01,2.235171e+00,6.996311e+00,2.893946e+00,1.204688e-01,9.227928e+01
2025-04-02_11-02-19-job37400052,3.308594e+02,2.414062e+02,3.413973e-04,7.658070e-03,2.220933e+01,6.987930e-04,1.939898e-01,3.167168e-02,1.031538e-04,1.511270e-03,2.841660e-03,1.654492e-03,1.734215e+01,4.278316e+01,4.920852e+01,4.693193e+00,3.691300e-01,2.234647e+00,7.012276e+00,2.883783e+00,1.205547e-01,9.218410e+01
2025-04-04_10-47-16-job37450206,3.308594e+02,2.414062e+02,3.458727e-04,7.782880e-03,2.253487e+01,7.065375e-04,2.014999e-01,3.261133e-02,1.032420e-04,1.511387e-03,2.848203e-03,1.664707e-03,1.739805e+01,4.273145e+01,4.914514e+01,4.689043e+00,3.904700e-01,2.233447e+00,7.071612e+00,2.861811e+00,1.203450e-01,9.192074e+01
2025-03-04_06-46-20-job36454567,3.312500e+02,2.417969e+02,3.499477e-04,7.751038e-03,2.278346e+01,7.738766e-04,1.954531e-01,3.514902e-02,1.026966e-04,1.503926e-03,2.836582e-03,1.655469e-03,1.746205e+01,4.263786e+01,4.902697e+01,4.679210e+00,3.882159e-01,2.226391e+00,7.084608e+00,2.880280e+00,1.200888e-01,9.211537e+01
2025-03-04_08-13-31-job36472676,3.312500e+02,2.421875e+02,3.500332e-04,7.748106e-03,2.296285e+01,7.258453e-04,2.001741e-01,3.359551e-02,1.023268e-04,1.506895e-03,2.836973e-03,1.654590e-03,1.747512e+01,4.262912e+01,4.904832e+01,4.683463e+00,3.840944e-01,2.227791e+00,7.105695e+00,2.867261e+00,1.200906e-01,9.223326e+01
2025-03-05_23-23-38-job36554791,3.312500e+02,2.417969e+02,3.689738e-04,7.757702e-03,2.269538e+01,6.758230e-04,1.990782e-01,3.393203e-02,1.051114e-04,1.510391e-03,2.840840e-03,1.655410e-03,1.745323e+01,4.269875e+01,4.908348e+01,4.686663e+00,3.813697e-01,2.229701e+00,7.077858e+00,2.887801e+00,1.202419e-01,9.214488e+01
2025-03-05_23-46-58-job36572270,3.312500e+02,2.417969e+02,3.484035e-04,7.746323e-03,2.280158e+01,7.307453e-04,2.033479e-01,3.464023e-02,1.010711e-04,1.511074e-03,2.842539e-03,1.660547e-03,1.756249e+01,4.267707e+01,4.907347e+01,4.697092e+00,3.821583e-01,2.229294e+00,7.146119e+00,2.889053e+00,1.202556e-01,9.213503e+01
2025-03-07_18-50-25-job36644627,3.312500e+02,2.417969e+02,3.487500e-04,7.741354e-03,2.269242e+01,4.824594e-04,1.982272e-01,3.378047e-02,1.027329e-04,1.504941e-03,2.839082e-03,1.658203e-03,1.744145e+01,4.269132e+01,4.907878e+01,4.694700e+00,3.819864e-01,2.228530e+00,7.080003e+00,2.876052e+00,1.201611e-01,9.229074e+01
2025-03-08_08-48-31-job36669218,3.312500e+02,2.417969e+02,3.621844e-04,7.728963e-03,2.281828e+01,3.965137e-04,2.004900e-01,3.323516e-02,1.029104e-04,1.503008e-03,2.834902e-03,1.652461e-03,1.750565e+01,4.267420e+01,4.907673e+01,4.679082e+00,3.809915e-01,2.228261e+00,7.104213e+00,2.889635e+00,1.201473e-01,9.224244e+01
