app_name,run_time,job_id,runtime
AMG2023,2025-03-21_19-12-57,37078647,330.602923
AMG2023,2025-03-21_19-25-27,37089700,329.84435
AMG2023,2025-03-22_11-29-56,37095454,335.518995
AMG2023,2025-03-22_13-40-27,37102023,333.763651
AMG2023,2025-03-23_12-20-24,37108579,330.438163
AMG2023,2025-03-23_16-26-07,37114602,330.399121
AMG2023,2025-03-23_17-01-56,37118357,332.315269
AMG2023,2025-03-24_02-26-48,37124650,332.168643
AMG2023,2025-03-24_07-25-35,37136772,330.530212
AMG2023,2025-03-24_09-10-19,37143023,339.27947
AMG2023,2025-03-24_17-34-34,37153372,330.327343
AMG2023,2025-03-25_10-08-40,37168766,331.547017
AMG2023,2025-03-25_10-48-15,37176437,332.482488
AMG2023,2025-03-25_17-45-55,37186657,329.843684
AMG2023,2025-03-25_18-27-33,37186935,330.217744
AMG2023,2025-03-26_01-43-16,37202852,330.859735
AMG2023,2025-03-26_20-58-10,37211694,331.479895
AMG2023,2025-03-27_02-20-34,37214645,330.255698
AMG2023,2025-03-28_10-17-53,37220178,333.227665
AMG2023,2025-03-28_20-07-05,37243029,330.011976
AMG2023,2025-03-29_02-49-06,37250898,333.212611
AMG2023,2025-03-29_14-14-54,37256004,330.681412
AMG2023,2025-03-29_15-18-19,37267628,331.237883
AMG2023,2025-03-29_16-00-53,37279440,331.702567
AMG2023,2025-03-30_05-34-16,37287208,330.280888
AMG2023,2025-03-30_09-21-11,37296746,331.919521
AMG2023,2025-03-30_18-26-58,37311403,329.314282
AMG2023,2025-03-31_06-55-27,37317404,332.374216
AMG2023,2025-03-31_15-24-47,37326957,332.25424
AMG2023,2025-03-31_15-35-02,37334037,331.913012
AMG2023,2025-03-31_21-41-36,37338487,332.119413
AMG2023,2025-03-31_22-35-22,37350075,330.356794
AMG2023,2025-04-01_06-20-26,37359316,331.950414
AMG2023,2025-04-01_10-20-45,37363989,332.140339
AMG2023,2025-04-02_00-13-51,37383398,331.329526
AMG2023,2025-04-02_03-41-08,37395770,330.280013
AMG2023,2025-04-02_11-02-19,37400052,330.814431
AMG2023,2025-04-02_20-53-28,37409182,331.580444
AMG2023,2025-04-03_09-10-38,37415941,331.646387
AMG2023,2025-04-03_12-55-18,37424368,332.204902
AMG2023,2025-04-04_08-42-28,37437370,331.435622
AMG2023,2025-04-04_10-47-16,37450206,330.744501
AMG2023,2025-04-04_11-36-08,37460194,331.958984
