username,correlation,max
user_ajaymk,0.3410199376414816,32.0
user_yueyaof,0.3358669871644262,16.0
user_yhlee,0.3353071580318606,92.0
user_skw,0.3339920198720128,256.0
user_amwyatt,0.33267411152661314,15.0
user_ckelly,0.33237554905649613,160.0
user_syuk,0.3283565651144091,24.0
user_bqzhao,0.3276528596440072,16.0
user_jackzhao,0.3266282549509156,2.0
user_gphun,-0.32466927608438345,6.0
user_ayanmitr,0.3237149179537612,8.0
user_jsimoni,0.3224258520819591,4.0
concurrent_nodes_in_same_group,0.3217694343633541,1179.0
user_dk4,0.31469012130994334,8.0
user_rhuegli,0.31373879481873207,40.0
user_kagarcia,0.31359724567858127,44.0
user_kxlee,0.31333919911691277,2.0
user_izzo,0.3119535543993717,12.0
user_staremb,0.3095998452277474,128.0
user_kfluo,-0.30873987665998465,400.0
user_qiuyf,0.30775410491086713,32.0
user_ranluo,0.3075458541291654,22.0
user_syeda,0.30707205796904835,35.0
user_timshen,0.30368113654569406,16.0
user_nelfalou,0.30287682759113305,8.0
user_zohim,0.30044092579615117,8.0
user_djc43,0.30038501486784114,8.0
user_vkarasev,0.29400591067762644,80.0
user_delchini,-0.2920192674350054,20.0
user_smcbride,0.28974923878388986,12.0
user_tjenkins,0.28936821155043163,96.0
user_houhun,0.2892511801247191,4.0
user_egurniak,0.28406786873987855,48.0
user_kell,-0.28119244440592117,8.0
user_smhagos,0.2808443601348282,60.0
user_diogenes,0.2808097413105014,64.0
user_dchabeda,0.28045252293573086,36.0
user_vandelij,0.2790383118340622,16.0
user_diegos,0.275361091414715,4.0
user_alstark,0.2752597755278668,36.0
user_dmglenna,0.27524026241470534,8.0
user_plewa,-0.2718520974070991,56.0
user_jiangxc6,0.2704112846883979,14.0
user_cchen83,0.26990802465280705,4.0
user_monojoy,0.26895851417989713,40.0
user_sijingdu,0.2685169821602855,50.0
user_jubchoi,0.2683597592957049,8.0
user_train23,0.2658590846385253,20.0
user_bfennig,0.26463530329351165,4.0
user_zchusre,0.2645013582684533,16.0
user_iyadornl,0.263716680340089,8.0
user_zhao,-0.2619812120849088,8.0
user_chenbo,-0.261966170414252,64.0
user_rsivara,-0.26179028088504047,20.0
user_dmain,-0.26152197765862045,10.0
user_yhdi,-0.260059579338005,16.0
user_zhaooo,0.25775912961086445,28.0
user_yshaidu,-0.2568820742393414,88.0
user_shipf,0.2558995705157087,56.0
user_nreddell,0.25519827571763537,64.0
user_f004m02,0.2550793893216469,80.0
user_klhhhhh,0.2548576167956829,16.0
user_groenewa,0.2534898840775226,16.0
user_vtsiolis,-0.25173110758779815,120.0
total_concurrent_nodes,-0.24859459285737687,4442.0
user_mconley,0.24821738304945365,8.0
user_yizhiz,0.24819858227916508,24.0
user_sguthula,-0.24714176291451467,80.0
user_qiji,-0.2466117194093198,4.0
user_yqsun,0.24653062342236498,24.0
user_suryad,0.24626831423437745,4.0
user_mcg,0.24497042519421963,24.0
user_rdatta,-0.24436949950586498,8.0
user_noelgb,-0.24235931849038267,8.0
user_aranjan,0.2403342652262596,28.0
user_mfarag,0.23981286143786348,44.0
user_asyam,0.23944421762938475,4.0
user_arojain,0.23853927257561383,60.0
user_biwei,-0.2384737813999124,10.0
user_tang2017,-0.2383742096699299,88.0
user_nickf,0.23749941163520746,6.0
user_bmichalo,0.2371936512332318,6.0
user_uheede,0.23672178698471097,12.0
user_nangoi,-0.23517212242462285,32.0
user_emgreen,0.2343631653069273,4.0
user_yongwang,0.23326063582007678,8.0
user_rrsomni1,0.23320355745674903,8.0
user_lorenzor,-0.2295881839098592,38.0
user_brianti,0.22282491113624,2.0
user_jicchen,-0.22048947824900472,32.0
user_dshawul,-0.21860900271433076,4.0
user_xinghe,0.2177930043951418,8.0
user_jsegura,0.2177080952523082,16.0
user_dmargala,0.21618892912623508,2.0
user_samolyuk,0.2158538022848996,32.0
user_jlab,0.215329277746184,198.0
user_lkim,0.21521022590102654,11.0
user_yyx5048,-0.21482005082664973,36.0
user_huawei7,0.21244380389172565,2.0
user_anskumar,0.21094594960281735,10.0
user_cynthiap,0.210826942880975,2.0
user_deepesh,0.210826942880975,8.0
user_mhussien,0.210826942880975,4.0
user_joshuaw,0.210826942880975,8.0
user_dvod,0.20955638599053195,80.0
user_willsh,-0.20939646568992276,6.0
user_srvenkat,0.20912595569777004,54.0
user_manishk,-0.20897731980236273,56.0
user_changzhi,0.20880807404231946,12.0
user_eay,-0.20809221453828308,8.0
user_mnavarro,0.20808528099065407,56.0
user_akleiner,-0.20787949560331534,200.0
user_vss2134,-0.20783700625686638,50.0
max_group_ratio,0.2072427954394363,0.8203125
user_smanna,0.20723540540586896,40.0
user_azubair,0.20647597817876043,4.0
user_xiaozha,-0.20616540008647422,72.0
user_jussupow,0.20595473063966896,30.0
user_haselsco,0.20587539051332296,6.0
user_sijiake,0.20544778137719172,80.0
user_emberson,-0.20511191560292844,272.0
user_jll4,-0.2040808308912431,512.0
user_luboyi,0.203435920502903,8.0
user_shuhaodu,0.20302516493029757,16.0
user_taozui,-0.2027106641715094,16.0
user_ejweaver,0.20270260431620413,2.0
