Node,GPU,Time
nid003805,1,0.27216
nid001897,1,0.277874
nid001893,2,0.271203
nid001925,0,0.272056
nid001740,0,0.271714
nid001417,3,0.274343
nid001417,1,0.276653
nid001900,3,0.272547
nid001808,2,0.272664
nid001893,1,0.272148
nid001808,3,0.272624
nid001893,3,0.272361
nid001417,0,0.272573
nid001904,1,0.273599
nid002225,2,0.27533
nid001893,0,0.277626
nid001897,2,0.27669
nid001897,3,0.280115
nid001812,2,0.275985
nid001900,0,0.276042
nid001897,0,0.280913
nid002477,1,0.267553
nid002505,3,0.266538
nid002477,3,0.26981
nid002492,3,0.27022
nid002481,0,0.270126
nid002500,1,0.267802
nid002488,3,0.266165
nid002496,2,0.270219
nid002493,0,0.27048
nid002504,2,0.269818
nid002505,1,0.271644
nid002508,2,0.271673
nid002484,2,0.273604
nid002508,1,0.272006
nid002493,3,0.271413
nid002481,1,0.270115
nid002489,3,0.27263
nid002489,0,0.272938
nid002500,3,0.269276
nid002492,0,0.270363
nid002505,0,0.274231
nid002489,2,0.273056
nid002492,1,0.2709
nid002485,0,0.275583
nid002501,1,0.270124
nid002508,0,0.275196
nid002493,1,0.270654
nid002504,0,0.272449
nid002496,1,0.272613
nid002504,1,0.270318
nid002484,3,0.270225
nid002489,1,0.269157
nid002504,3,0.269861
nid002492,2,0.275753
nid002480,2,0.272935
nid002496,3,0.269474
nid002505,2,0.269648
nid002497,2,0.273101
nid002508,3,0.271155
nid002481,3,0.270271
nid002497,1,0.269639
nid002485,2,0.27232
nid002480,3,0.270309
nid002497,3,0.272756
nid002477,0,0.272537
nid002493,2,0.271648
nid002488,1,0.272622
nid002488,0,0.272812
nid002496,0,0.270958
nid002488,2,0.273044
nid002485,3,0.271013
nid002501,2,0.270728
nid002480,0,0.271127
nid002480,1,0.272395
nid002497,0,0.276023
nid002501,0,0.272062
nid002485,1,0.272945
nid002481,2,0.275857
nid002501,3,0.273673
nid002484,1,0.273208
nid002500,0,0.273847
nid002477,2,0.275085
nid002484,0,0.273878
nid002500,2,0.27596
nid003092,1,0.267486
nid002704,3,0.265149
nid002452,0,0.269295
nid003093,2,0.27065
nid003300,2,0.267446
nid002528,2,0.272082
nid003092,3,0.272137
nid003300,0,0.272138
nid002452,3,0.268684
nid002717,1,0.268124
nid003293,1,0.271034
nid002792,3,0.273153
nid003296,1,0.270498
nid003081,3,0.268963
nid003297,1,0.271741
nid003093,3,0.273039
nid002528,3,0.273192
nid003097,3,0.273061
nid002452,2,0.271863
nid003300,1,0.272302
nid003293,0,0.269962
nid002792,1,0.272319
nid002704,1,0.271812
nid002717,3,0.270171
nid003296,3,0.272027
nid003093,0,0.274875
nid003093,1,0.269849
nid003081,1,0.2745
nid003297,3,0.274164
nid003092,0,0.274719
nid003096,1,0.268547
nid002528,0,0.276621
nid003293,3,0.269865
nid002900,1,0.270339
nid003081,2,0.276098
nid002900,2,0.269869
nid002704,0,0.270939
nid002452,1,0.270577
nid002717,0,0.271421
nid002700,2,0.273747
nid002700,3,0.270555
nid002717,2,0.273642
nid003300,3,0.271352
nid003097,2,0.27416
nid003296,2,0.27567
nid003297,0,0.271619
nid002528,1,0.271647
nid002704,2,0.276634
nid003097,0,0.272034
nid003096,3,0.272285
nid003092,2,0.272924
nid002700,1,0.273726
nid003096,2,0.273346
nid002900,3,0.274419
nid003096,0,0.273368
nid003297,2,0.274446
nid002792,2,0.275302
nid002900,0,0.2748
nid003097,1,0.274858
nid002792,0,0.27651
nid003293,2,0.276217
nid002700,0,0.276461
nid003296,0,0.276251
nid003081,0,0.279017
nid003560,2,0.267295
nid003624,1,0.268746
nid003624,2,0.26945
nid003301,1,0.269278
nid003401,3,0.26558
nid003353,2,0.27165
